No.,SS_Index,ID_SS,SS_Name,SS_Type,SS_Value
0,50,M150,S3_CAP_DISABLE,b,0
1,51,M151,S3_TUBE_DISABLE,b,0
2,52,M152,S3_COMMUNICATION_DISABLE,b,0
3,53,M153,S3_LIFT_MOTOR_DISABLE,b,0
4,54,M154,S3_PUSH_TRAY_DISABLE,b,0
5,59,M159,S3_VISION_ENABLE,b,0
