No.,PD_Index,ID_PD,PD_Name,PD_Type,PD_Value
0,73,D2573,S3_PLASTIC_TRAYS_QTY,i,4085
1,362,D2862,productCountRaw,i,978
2,302,D2802,S3_VISION_TOTAL_TUBES,i,1012
3,300,D2800,S3_VISION_GOOD_TUBES,i,1019
4,304,D2804,S3_VISION_BAD_TUBES,i,19
5,133,D2633,S3_STYROFOAM_TRAYS_QTY,i,12
6,128,D2628,S3_VISION_CURRENT_GDS,i,30
7,138,D2638,S3_VISION_CURRENT_BDS,i,27
8,330,D2830,S3_CURRENT_ID_AUTH,h,27
9,328,D2828,S3_CURRENT_LEVEL_AUTH,h,25
10,362,D2862,productCount,i,27
11,360,D2860,S3_CYCLE_TIME,i,27
