No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi,,,,,,seconds
43,M211,S1_PARA_DRY1_PAUSE1_BIT,1,2024-05-11T16:34:06.189626,Station Status,1,,16,34,6.189626,59646.18963,0.533539
44,M212,S1_PARA_DRY1_PAUSE2_BIT,1,2024-05-11T16:34:06.198870,Station Status,1,,16,34,6.19887,59646.19887,0.542783
45,D5719,S1_FS_CURRENT_0_8,22,2024-05-11T16:34:06.205690,Chemical Detection Current,1,,16,34,6.20569,59646.20569,0.549603
46,D2599,EFF,0,2024-05-11T16:34:06.229160,Production Data,1,,16,34,6.22916,59646.22916,0.573073
47,D5898,S1_FS_HISTORY_1_1_0,26,2024-05-11T16:34:06.238068,Chemical Detection History,1,,16,34,6.238068,59646.23807,0.581981
48,M1805,CHEMICAL FAIL 3 TIMES AT: ROW 4 - COL 9,0,2024-05-11T16:34:06.246825,Alarm,1,,16,34,6.246825,59646.24683,0.590738
49,M213,S1_PARA_DRY1_PAUSE3_BIT,1,2024-05-11T16:34:06.254494,Station Status,1,,16,34,6.254494,59646.25449,0.598407
50,D5709,S1_FS_CURRENT_0_9,26,2024-05-11T16:34:06.264557,Chemical Detection Current,1,,16,34,6.264557,59646.26456,0.60847
51,D2835,S1_PARA_TRIG_POS_A,0,2024-05-11T16:34:06.271356,Setting,1,,16,34,6.271356,59646.27136,0.615269
52,D5888,S1_FS_HISTORY_1_1_1,23,2024-05-11T16:34:06.282228,Chemical Detection History,1,,16,34,6.282228,59646.28223,0.626141
53,D5878,S1_FS_HISTORY_1_1_2,26,2024-05-11T16:34:06.289762,Chemical Detection History,1,,16,34,6.289762,59646.28976,0.633675
54,D2578,S1_HEATING_TEMP,24,2024-05-11T16:34:06.304770,Production Data,1,,16,34,6.30477,59646.30477,0.648683
55,M292,S1_PARA_DRY2_USE_BIT,1,2024-05-11T16:34:06.312530,Station Status,1,,16,34,6.31253,59646.31253,0.656443
56,D5798,S1_FS_CURRENT_1_0,26,2024-05-11T16:34:06.321499,Chemical Detection Current,1,,16,34,6.321499,59646.3215,0.665412
57,D2836,S1_PARA_TRIG_POS_B,0,2024-05-11T16:34:06.329146,Setting,1,,16,34,6.329146,59646.32915,0.673059
58,D5868,S1_FS_HISTORY_1_1_3,29,2024-05-11T16:34:06.347624,Chemical Detection History,1,,16,34,6.347624,59646.34762,0.691537
59,M1806,CHEMICAL FAIL 3 TIMES AT: ROW 3 - COL 9,0,2024-05-11T16:34:06.356175,Alarm,1,,16,34,6.356175,59646.35618,0.700088
60,M281,S1_PARA_DRY2_PAUSE1_BIT,1,2024-05-11T16:34:06.366523,Station Status,1,,16,34,6.366523,59646.36652,0.710436
61,D5788,S1_FS_CURRENT_1_1,23,2024-05-11T16:34:06.371537,Chemical Detection Current,1,,16,34,6.371537,59646.37154,0.71545
62,D2837,S1_PARA_T_MOVING,0,2024-05-11T16:34:06.387566,Setting,1,,16,34,6.387566,59646.38757,0.731479
63,D5858,S1_FS_HISTORY_1_1_4,26,2024-05-11T16:34:06.396924,Chemical Detection History,1,,16,34,6.396924,59646.39692,0.740837
64,D5848,S1_FS_HISTORY_1_1_5,27,2024-05-11T16:34:06.406163,Chemical Detection History,1,,16,34,6.406163,59646.40616,0.750076
65,M1807,CHEMICAL FAIL 3 TIMES AT: ROW 2 - COL 9,0,2024-05-11T16:34:06.414585,Alarm,1,,16,34,6.414585,59646.41459,0.758498
66,M282,S1_PARA_DRY2_PAUSE2_BIT,1,2024-05-11T16:34:06.421533,Station Status,1,,16,34,6.421533,59646.42153,0.765446
67,D5778,S1_FS_CURRENT_1_2,26,2024-05-11T16:34:06.437765,Chemical Detection Current,1,,16,34,6.437765,59646.43777,0.781678
68,D5768,S1_FS_CURRENT_1_3,29,2024-05-11T16:34:06.449117,Chemical Detection Current,1,,16,34,6.449117,59646.44912,0.79303
69,D2840,S1_PARA_DRY1_TIMES,0,2024-05-11T16:34:06.454967,Setting,1,,16,34,6.454967,59646.45497,0.79888
70,D5838,S1_FS_HISTORY_1_1_6,26,2024-05-11T16:34:06.470572,Chemical Detection History,1,,16,34,6.470572,59646.47057,0.814485
71,M1808,CHEMICAL FAIL 3 TIMES AT: ROW 1 - COL 9,0,2024-05-11T16:34:06.479276,Alarm,1,,16,34,6.479276,59646.47928,0.823189
72,M283,S1_PARA_DRY2_PAUSE3_BIT,1,2024-05-11T16:34:06.487245,Station Status,1,,16,34,6.487245,59646.48725,0.831158
73,D2623,S1_CURRENT_BDS,0,2024-05-11T16:34:06.496933,Production Data,1,,16,34,6.496933,59646.49693,0.840846
74,D5758,S1_FS_CURRENT_1_4,26,2024-05-11T16:34:06.505352,Chemical Detection Current,1,,16,34,6.505352,59646.50535,0.849265
75,D2841,S1_PARA_DRY1_POSITION_01,0,2024-05-11T16:34:06.513616,Setting,1,,16,34,6.513616,59646.51362,0.857529
76,D5828,S1_FS_HISTORY_1_1_7,27,2024-05-11T16:34:06.521717,Chemical Detection History,1,,16,34,6.521717,59646.52172,0.86563
77,M1809,CHEMICAL FAIL 3 TIMES AT: ROW 0 - COL 9,0,2024-05-11T16:34:06.536258,Alarm,1,,16,34,6.536258,59646.53626,0.880171
78,M4,S1_PARA_HEATING_SS,0,2024-05-11T16:34:06.537253,Station Status,1,,16,34,6.537253,59646.53725,0.881166
79,D5748,S1_FS_CURRENT_1_5,27,2024-05-11T16:34:06.554225,Chemical Detection Current,1,,16,34,6.554225,59646.55423,0.898138
80,D2843,S1_PARA_DRY1_POSITION_12,0,2024-05-11T16:34:06.566762,Setting,1,,16,34,6.566762,59646.56676,0.910675
81,D5818,S1_FS_HISTORY_1_1_8,23,2024-05-11T16:34:06.567549,Chemical Detection History,1,,16,34,6.567549,59646.56755,0.911462
82,M1810,CHEMICAL FAIL 3 TIMES AT: ROW 9 - COL 8,0,2024-05-11T16:34:06.584657,Alarm,1,,16,34,6.584657,59646.58466,0.92857
83,M1811,CHEMICAL FAIL 3 TIMES AT: ROW 8 - COL 8,0,2024-05-11T16:34:06.588873,Alarm,1,,16,34,6.588873,59646.58887,0.932786
84,M73,S1_PARA_TESTING_DOSING_BIT,0,2024-05-11T16:34:06.601931,Station Status,1,,16,34,6.601931,59646.60193,0.945844
85,D5738,S1_FS_CURRENT_1_6,26,2024-05-11T16:34:06.605639,Chemical Detection Current,1,,16,34,6.605639,59646.60564,0.949552
86,D2802,S1_VISION_TOTAL_TUBES,2000,2024-05-11T16:34:06.618970,Production Data,1,,16,34,6.61897,59646.61897,0.962883
87,D2845,S1_PARA_DRY1_POSITION_23,0,2024-05-11T16:34:06.621622,Setting,1,,16,34,6.621622,59646.62162,0.965535
88,D5808,S1_FS_HISTORY_1_1_9,22,2024-05-11T16:34:06.636565,Chemical Detection History,1,,16,34,6.636565,59646.63657,0.980478
89,M1812,CHEMICAL FAIL 3 TIMES AT: ROW 7 - COL 8,0,2024-05-11T16:34:06.650780,Alarm,1,,16,34,6.65078,59646.65078,0.994693
90,M72,S1_PARA_TESTING_DRY1_BIT,0,2024-05-11T16:34:06.656057,Station Status,1,,16,34,6.656057,59646.65606,0.99997
91,D5728,S1_FS_CURRENT_1_7,27,2024-05-11T16:34:06.668491,Chemical Detection Current,1,,16,34,6.668491,59646.66849,1.012404
92,D5718,S1_FS_CURRENT_1_8,23,2024-05-11T16:34:06.672543,Chemical Detection Current,1,,16,34,6.672543,59646.67254,1.016456
93,D2842,S1_PARA_DRY1_PAUSE_1,0,2024-05-11T16:34:06.685450,Setting,1,,16,34,6.68545,59646.68545,1.029363
94,D5897,S1_FS_HISTORY_1_2_0,28,2024-05-11T16:34:06.688521,Chemical Detection History,1,,16,34,6.688521,59646.68852,1.032434
95,M1813,CHEMICAL FAIL 3 TIMES AT: ROW 6 - COL 8,0,2024-05-11T16:34:06.703719,Alarm,1,,16,34,6.703719,59646.70372,1.047632
96,M74,S1_PARA_TESTING_ROBOT_BIT,0,2024-05-11T16:34:06.717076,Station Status,1,,16,34,6.717076,59646.71708,1.060989
97,D2800,S1_VISION_GOOD_TUBES,1995,2024-05-11T16:34:06.730099,Production Data,1,,16,34,6.730099,59646.7301,1.074012
98,D2844,S1_PARA_DRY1_PAUSE_2,0,2024-05-11T16:34:06.739621,Setting,1,,16,34,6.739621,59646.73962,1.083534
99,D5887,S1_FS_HISTORY_1_2_1,29,2024-05-11T16:34:06.748030,Chemical Detection History,1,,16,34,6.74803,59646.74803,1.091943
100,M1814,CHEMICAL FAIL 3 TIMES AT: ROW 5 - COL 8,0,2024-05-11T16:34:06.755817,Alarm,1,,16,34,6.755817,59646.75582,1.09973
101,M75,S1_PARA_TESTING_HEATING_BIT,0,2024-05-11T16:34:06.766807,Station Status,1,,16,34,6.766807,59646.76681,1.11072
102,M76,S1_PARA_TESTING_FS_BIT,0,2024-05-11T16:34:06.771890,Station Status,1,,16,34,6.77189,59646.77189,1.115803
103,D2846,S1_PARA_DRY1_PAUSE_3,0,2024-05-11T16:34:06.788851,Setting,1,,16,34,6.788851,59646.78885,1.132764
104,D2804,S1_VISION_BAD_TUBES,5,2024-05-11T16:34:06.803177,Production Data,1,,16,34,6.803177,59646.80318,1.14709
105,M1815,CHEMICAL FAIL 3 TIMES AT: ROW 4 - COL 8,0,2024-05-11T16:34:06.806232,Alarm,1,,16,34,6.806232,59646.80623,1.150145
106,D5708,S1_FS_CURRENT_1_9,22,2024-05-11T16:34:06.820355,Chemical Detection Current,1,,16,34,6.820355,59646.82036,1.164268
107,D5797,S1_FS_CURRENT_2_0,28,2024-05-11T16:34:06.822971,Chemical Detection Current,1,,16,34,6.822971,59646.82297,1.166884
108,D2810,S1_PARA_DRY2_TIMES,0,2024-05-11T16:34:06.838984,Setting,1,,16,34,6.838984,59646.83898,1.182897
109,D5877,S1_FS_HISTORY_1_2_2,21,2024-05-11T16:34:06.853370,Chemical Detection History,1,,16,34,6.85337,59646.85337,1.197283
110,M1816,CHEMICAL FAIL 3 TIMES AT: ROW 3 - COL 8,0,2024-05-11T16:34:06.866796,Alarm,1,,16,34,6.866796,59646.8668,1.210709
111,M69,S1_PARA_TESTING_DRY2_BIT,0,2024-05-11T16:34:06.867806,Station Status,1,,16,34,6.867806,59646.86781,1.211719
112,D5787,S1_FS_CURRENT_2_1,29,2024-05-11T16:34:06.884679,Chemical Detection Current,1,,16,34,6.884679,59646.88468,1.228592
113,D2811,S1_PARA_DRY2_POSITION_01,0,2024-05-11T16:34:06.887678,Setting,1,,16,34,6.887678,59646.88768,1.231591
114,D5867,S1_FS_HISTORY_1_2_3,25,2024-05-11T16:34:06.904744,Chemical Detection History,1,,16,34,6.904744,59646.90474,1.248657
115,D2633,S1_STYROFOAM_TRAYS_QTY,20,2024-05-11T16:34:06.920032,Production Data,1,,16,34,6.920032,59646.92003,1.263945
116,M1817,CHEMICAL FAIL 3 TIMES AT: ROW 2 - COL 8,0,2024-05-11T16:34:06.921031,Alarm,1,,16,34,6.921031,59646.92103,1.264944
117,D5777,S1_FS_CURRENT_2_2,21,2024-05-11T16:34:06.938074,Chemical Detection Current,1,,16,34,6.938074,59646.93807,1.281987
118,D2813,S1_PARA_DRY2_POSITION_12,0,2024-05-11T16:34:06.950942,Setting,1,,16,34,6.950942,59646.95094,1.294855
119,D5857,S1_FS_HISTORY_1_2_4,22,2024-05-11T16:34:06.953941,Chemical Detection History,1,,16,34,6.953941,59646.95394,1.297854
120,M1818,CHEMICAL FAIL 3 TIMES AT: ROW 1 - COL 8,0,2024-05-11T16:34:06.979419,Alarm,1,,16,34,6.979419,59646.97942,1.323332
121,D5767,S1_FS_CURRENT_2_3,25,2024-05-11T16:34:06.989346,Chemical Detection Current,1,,16,34,6.989346,59646.98935,1.333259
122,D2815,S1_PARA_DRY2_POSITION_23,0,2024-05-11T16:34:07.003721,Setting,1,,16,34,7.003721,59647.00372,1.347634
123,D5847,S1_FS_HISTORY_1_2_5,23,2024-05-11T16:34:07.018607,Chemical Detection History,1,,16,34,7.018607,59647.01861,1.36252
124,D2628,S1_VISION_CURRENT_GDS,98,2024-05-11T16:34:07.021607,Production Data,1,,16,34,7.021607,59647.02161,1.36552
125,M1819,CHEMICAL FAIL 3 TIMES AT: ROW 0 - COL 8,0,2024-05-11T16:34:07.040612,Alarm,1,,16,34,7.040612,59647.04061,1.384525
126,D5757,S1_FS_CURRENT_2_4,22,2024-05-11T16:34:07.055509,Chemical Detection Current,1,,16,34,7.055509,59647.05551,1.399422
127,D2812,S1_PARA_DRY2_PAUSE_1,0,2024-05-11T16:34:07.068553,Setting,1,,16,34,7.068553,59647.06855,1.412466
128,D5837,S1_FS_HISTORY_1_2_6,27,2024-05-11T16:34:07.071708,Chemical Detection History,1,,16,34,7.071708,59647.07171,1.415621
129,M1820,CHEMICAL FAIL 3 TIMES AT: ROW 9 - COL 7,0,2024-05-11T16:34:07.101118,Alarm,1,,16,34,7.101118,59647.10112,1.445031
130,M1821,CHEMICAL FAIL 3 TIMES AT: ROW 8 - COL 7,0,2024-05-11T16:34:07.105116,Alarm,1,,16,34,7.105116,59647.10512,1.449029
131,D2814,S1_PARA_DRY2_PAUSE_2,0,2024-05-11T16:34:07.119452,Setting,1,,16,34,7.119452,59647.11945,1.463365
132,D5827,S1_FS_HISTORY_1_2_7,27,2024-05-11T16:34:07.133443,Chemical Detection History,1,,16,34,7.133443,59647.13344,1.477356
133,D2638,S1_VISION_CURRENT_BDS,2,2024-05-11T16:34:07.135454,Production Data,1,,16,34,7.135454,59647.13545,1.479367
134,D5747,S1_FS_CURRENT_2_5,23,2024-05-11T16:34:07.154070,Chemical Detection Current,1,,16,34,7.15407,59647.15407,1.497983
135,M1822,CHEMICAL FAIL 3 TIMES AT: ROW 7 - COL 7,0,2024-05-11T16:34:07.166269,Alarm,1,,16,34,7.166269,59647.16627,1.510182
136,D2816,S1_PARA_DRY2_PAUSE_3,0,2024-05-11T16:34:07.166269,Setting,1,,16,34,7.166269,59647.16627,1.510182
137,D5817,S1_FS_HISTORY_1_2_8,25,2024-05-11T16:34:07.183274,Chemical Detection History,1,,16,34,7.183274,59647.18327,1.527187
138,D5737,S1_FS_CURRENT_2_6,27,2024-05-11T16:34:07.200835,Chemical Detection Current,1,,16,34,7.200835,59647.20084,1.544748
139,M1823,CHEMICAL FAIL 3 TIMES AT: ROW 6 - COL 7,0,2024-05-11T16:34:07.213917,Alarm,1,,16,34,7.213917,59647.21392,1.55783
140,D2806,S1_PARA_ROBOT_Y_POS_1,20141,2024-05-11T16:34:07.230443,Setting,1,,16,34,7.230443,59647.23044,1.574356
141,D5807,S1_FS_HISTORY_1_2_9,22,2024-05-11T16:34:07.240466,Chemical Detection History,1,,16,34,7.240466,59647.24047,1.584379
142,D5896,S1_FS_HISTORY_1_3_0,24,2024-05-11T16:34:07.252613,Chemical Detection History,1,,16,34,7.252613,59647.25261,1.596526
143,D2830,S1_CURRENT_ID_AUTH,0,2024-05-11T16:34:07.255609,Production Data,1,,16,34,7.255609,59647.25561,1.599522
144,M1824,CHEMICAL FAIL 3 TIMES AT: ROW 5 - COL 7,0,2024-05-11T16:34:07.276745,Alarm,1,,16,34,7.276745,59647.27675,1.620658
145,D2808,S1_PARA_ROBOT_Y_POS_2,20141,2024-05-11T16:34:07.287317,Setting,1,,16,34,7.287317,59647.28732,1.63123
146,D2850,S1_PARA_ROBOT_Z_POS_1,6476,2024-05-11T16:34:07.299288,Setting,1,,16,34,7.299288,59647.29929,1.643201
147,D2852,S1_PARA_ROBOT_Z_POS_2,16350,2024-05-11T16:34:07.306955,Setting,1,,16,34,7.306955,59647.30696,1.650868
148,D5886,S1_FS_HISTORY_1_3_1,27,2024-05-11T16:34:07.316928,Chemical Detection History,1,,16,34,7.316928,59647.31693,1.660841
